Categoría,Producto,Región,Ventas,Unidades,Fecha
Electrónica,Laptop,Norte,45000,150,2024-01-15
Electrónica,Tablet,Sur,32000,200,2024-01-16
Electrónica,Smartphone,Este,58000,250,2024-01-17
Electrónica,Auriculares,Oeste,12000,300,2024-01-18
Hogar,Refrigerador,Norte,95000,50,2024-01-19
Hogar,Microondas,Sur,28000,120,2024-01-20
Hogar,Lavadora,Este,67000,80,2024-01-21
Hogar,Aspiradora,Oeste,18000,150,2024-01-22
Ropa,Camisas,Norte,8500,400,2024-01-23
Ropa,Pantalones,Sur,12000,350,2024-01-24
Ropa,Zapatos,Este,15000,200,2024-01-25
Ropa,Chaquetas,Oeste,22000,150,2024-01-26
Alimentos,Cereal,Norte,3500,800,2024-01-27
Alimentos,Pasta,Sur,2800,900,2024-01-28
Alimentos,Arroz,Este,3200,750,2024-01-29
Alimentos,Aceite,Oeste,4100,600,2024-01-30
Electrónica,Monitor,Norte,38000,100,2024-02-01
Electrónica,Teclado,Sur,8500,400,2024-02-02
Hogar,Licuadora,Este,9500,200,2024-02-03
Ropa,Vestidos,Oeste,18000,180,2024-02-04
Alimentos,Café,Norte,5600,500,2024-02-05
Electrónica,Mouse,Sur,4500,600,2024-02-06
Hogar,Plancha,Este,7800,220,2024-02-07
Ropa,Bufandas,Oeste,6200,280,2024-02-08
Alimentos,Azúcar,Norte,2900,650,2024-02-09
Electrónica,Webcam,Sur,15000,150,2024-02-10
Hogar,Tostadora,Este,5500,180,2024-02-11
Ropa,Guantes,Oeste,4800,320,2024-02-12
Alimentos,Harina,Norte,3100,700,2024-02-13
Electrónica,Parlantes,Sur,12500,200,2024-02-14
